32935,Haikyuu: Karasuno Koukou vs Shiratorizawa Gakuen Koukou,,after the victory against aoba jousai high karasuno high school once called “a fallen powerhouse a crow that can’t fly” has finally reached the climax of the heated spring tournament now to advance to nationals the karasuno team has to defeat the powerhouse shiratorizawa academy karasuno’s greatest hurdle is their adversary’s ace wakatoshi ushijima the number one player in the miyagi prefecture and one of the country’s top three aces only the strongest team will make it to the national tournament since this match is the third-year players’ last chance to qualify for nationals karasuno has to use everything they learned during the training camp and prior matches to attain victory filled with restlessness and excitement both teams are determined to come out on top in the third season of haikyuu  ,8.94,,one year has passed since the black rebellion a failed uprising against the holy britannian empire led by the masked vigilante zero who is now missing at a loss without their revolutionary leader area 11's resistance group—the black knights—find themselves too powerless to combat the brutality inflicted upon the elevens by britannia which has increased significantly in order to crush any hope of a future revolt  lelouch lamperouge having lost all memory of his double life is living peacefully alongside his friends as a high school student at ashford academy his former partner cc unable to accept this turn of events takes it upon herself to remind him of his past purpose hoping that the mastermind zero will rise once again to finish what he started in this thrilling conclusion to the series  
34096,Gintama,,after joining the resistance against the bakufu gintoki and the gang are in hiding along with katsura and his joui rebels the yorozuya is soon approached by nobume imai and two members of the kiheitai who explain that the harusame pirates have turned against 7th division captain kamui and their former ally takasugi the kiheitai present gintoki with a job: find takasugi who has been missing since his ship was ambushed in a harusame raid nobume also makes a stunning revelation regarding the tendoushuu a secret organization pulling the strings of numerous factions and their leader utsuro the shadowy figure with an uncanny resemblance to gintoki's former teacher hitching a ride on sakamoto's space ship the yorozuya and katsura set out for rakuyou kagura's home planet where the various factions have gathered and tensions are brewing long-held grudges political infighting and the tendoushuu's sinister overarching plan finally culminate into a massive decisive battle on rakuyou ,8.94,,after the victory against aoba jousai high karasuno high school once called “a fallen powerhouse a crow that can’t fly” has finally reached the climax of the heated spring tournament now to advance to nationals the karasuno team has to defeat the powerhouse shiratorizawa academy karasuno’s greatest hurdle is their adversary’s ace wakatoshi ushijima the number one player in the miyagi prefecture and one of the country’s top three aces only the strongest team will make it to the national tournament since this match is the third-year players’ last chance to qualify for nationals karasuno has to use everything they learned during the training camp and prior matches to attain victory filled with restlessness and excitement both teams are determined to come out on top in the third season of haikyuu  
15335,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,,when gintoki apprehends a movie pirate at a premiere he checks the camera's footage and finds himself transported to a bleak post-apocalyptic version of edo where a mysterious epidemic called the white plague has ravished the world's population it turns out that the movie pirate wasn't a pirate after all—it was an android time machine and gintoki has been hurtled five years into the future shinpachi and kagura his yorozuya cohorts have had a falling out and are now battle-hardened solo vigilantes and he himself has been missing for years disappearing without a trace after scribbling a strange message in his journal setting out in the disguise given to him by the android time machine gintoki haphazardly reunites the yorozuya team to investigate the white plague and soon discovers that the key to saving the future lies in the darkness of his own past determined to confront a powerful foe he makes an important discovery—with a ragtag band of friends and allies at his side he doesn't have to fight alone ,8.95,,after joining the resistance against the bakufu gintoki and the gang are in hiding along with katsura and his joui rebels the yorozuya is soon approached by nobume imai and two members of the kiheitai who explain that the harusame pirates have turned against 7th division captain kamui and their former ally takasugi the kiheitai present gintoki with a job: find takasugi who has been missing since his ship was ambushed in a harusame raid nobume also makes a stunning revelation regarding the tendoushuu a secret organization pulling the strings of numerous factions and their leader utsuro the shadowy figure with an uncanny resemblance to gintoki's former teacher hitching a ride on sakamoto's space ship the yorozuya and katsura set out for rakuyou kagura's home planet where the various factions have gathered and tensions are brewing long-held grudges political infighting and the tendoushuu's sinister overarching plan finally culminate into a massive decisive battle on rakuyou 
918,Gintama,,the amanto aliens from outer space have invaded earth and taken over feudal japan as a result a prohibition on swords has been established and the samurai of japan are treated with disregard as a consequence however one man gintoki sakata still possesses the heart of the samurai although from his love of sweets and work as a yorozuya one might not expect it accompanying him in his jack-of-all-trades line of work are shinpachi shimura a boy with glasses and a strong heart kagura with her umbrella and seemingly bottomless stomach as well as sadaharu their oversized pet dog of course these odd jobs are not always simple as they frequently have run-ins with the police ragtag rebels and assassins oftentimes leading to humorous but unfortunate consequences who said life as an errand boy was easy? ,8.97,,when gintoki apprehends a movie pirate at a premiere he checks the camera's footage and finds himself transported to a bleak post-apocalyptic version of edo where a mysterious epidemic called the white plague has ravished the world's population it turns out that the movie pirate wasn't a pirate after all—it was an android time machine and gintoki has been hurtled five years into the future shinpachi and kagura his yorozuya cohorts have had a falling out and are now battle-hardened solo vigilantes and he himself has been missing for years disappearing without a trace after scribbling a strange message in his journal setting out in the disguise given to him by the android time machine gintoki haphazardly reunites the yorozuya team to investigate the white plague and soon discovers that the key to saving the future lies in the darkness of his own past determined to confront a powerful foe he makes an important discovery—with a ragtag band of friends and allies at his side he doesn't have to fight alone 
4181,Clannad: After Story,,clannad: after story the sequel to the critically acclaimed slice-of-life series clannad begins after tomoya okazaki and nagisa furukawa graduate from high school together they experience the emotional rollercoaster of growing up unable to decide on a course for his future tomoya learns the value of a strong work ethic and discovers the strength of nagisa's support through the couple's dedication and unity of purpose they push forward to confront their personal problems deepen their old relationships and create new bonds time also moves on in the illusionary world as the plains grow cold with the approach of winter the illusionary girl and the garbage doll are presented with a difficult situation that reveals the world's true purpose based on the visual novel by key and produced by kyoto animation clannad: after story is an impactful drama highlighting the importance of family and the struggles of adulthood ,8.97,,the amanto aliens from outer space have invaded earth and taken over feudal japan as a result a prohibition on swords has been established and the samurai of japan are treated with disregard as a consequence however one man gintoki sakata still possesses the heart of the samurai although from his love of sweets and work as a yorozuya one might not expect it accompanying him in his jack-of-all-trades line of work are shinpachi shimura a boy with glasses and a strong heart kagura with her umbrella and seemingly bottomless stomach as well as sadaharu their oversized pet dog of course these odd jobs are not always simple as they frequently have run-ins with the police ragtag rebels and assassins oftentimes leading to humorous but unfortunate consequences who said life as an errand boy was easy? 
15417,Gintama': Enchousen,,while gintoki sakata was away the yorozuya found themselves a new leader: kintoki gintoki's golden-haired doppelganger in order to regain his former position gintoki will need the help of those around him a troubling feat when no one can remember him between kintoki and gintoki who will claim the throne as the main character? in addition yorozuya make a trip back down to red-light district of yoshiwara to aid an elderly courtesan in her search for her long-lost lover although the district is no longer in chains beneath the earth's surface the trio soon learn of the tragic backstories of yoshiwara's inhabitants that still haunt them with flashback after flashback this quest has yorozuya witnessing everlasting love and protecting it as best they can with their hearts and souls  gintama': enchousen includes moments of action-packed intensity along with their usual lighthearted slapstick humor for gintoki and his friends ,8.98,,clannad: after story the sequel to the critically acclaimed slice-of-life series clannad begins after tomoya okazaki and nagisa furukawa graduate from high school together they experience the emotional rollercoaster of growing up unable to decide on a course for his future tomoya learns the value of a strong work ethic and discovers the strength of nagisa's support through the couple's dedication and unity of purpose they push forward to confront their personal problems deepen their old relationships and create new bonds time also moves on in the illusionary world as the plains grow cold with the approach of winter the illusionary girl and the garbage doll are presented with a difficult situation that reveals the world's true purpose based on the visual novel by key and produced by kyoto animation clannad: after story is an impactful drama highlighting the importance of family and the struggles of adulthood 
30276,One Punch Man,,the seemingly ordinary and unimpressive saitama has a rather unique hobby: being a hero in order to pursue his childhood dream he trained relentlessly for three years—and lost all of his hair in the process now saitama is incredibly powerful so much so that no enemy is able to defeat him in battle in fact all it takes to defeat evildoers with just one punch has led to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored  this all changes with the arrival of genos a 19-year-old cyborg who wishes to be saitama's disciple after seeing what he is capable of genos proposes that the two join the hero association in order to become certified heroes that will be recognized for their positive contributions to society and saitama shocked that no one knows who he is quickly agrees and thus begins the story of one punch man an action-comedy that follows an eccentric individual who longs to fight strong enemies that can hopefully give him the excitement he once felt and just maybe he'll become popular in the process ,8.68,,while gintoki sakata was away the yorozuya found themselves a new leader: kintoki gintoki's golden-haired doppelganger in order to regain his former position gintoki will need the help of those around him a troubling feat when no one can remember him between kintoki and gintoki who will claim the throne as the main character? in addition yorozuya make a trip back down to red-light district of yoshiwara to aid an elderly courtesan in her search for her long-lost lover although the district is no longer in chains beneath the earth's surface the trio soon learn of the tragic backstories of yoshiwara's inhabitants that still haunt them with flashback after flashback this quest has yorozuya witnessing everlasting love and protecting it as best they can with their hearts and souls  gintama': enchousen includes moments of action-packed intensity along with their usual lighthearted slapstick humor for gintoki and his friends 
16664,Kaguya-hime no Monogatari,,deep in the countryside a man named okina works as a bamboo cutter in a forest chopping away at the hollow plants day after day one day he discovers a small baby inside a glowing shoot he immediately takes her home convinced that she is a princess sent to earth as a divine blessing from heaven okina and his wife ouna take it upon themselves to raise the infant as their own watching over her as she quickly grows into an energetic young girl given the name kaguya she fits right in with the village she has come to call home going on adventures with the other children and enjoying what youth has to offer but when okina finds a large fortune of gold and treasure in the forest kaguya's life is completely changed believing this to be yet another gift from heaven he takes it upon himself to turn his daughter into a real princess using the wealth he has just obtained relocating the family to a mansion in the capital as she leaves her friends behind to enter into an unwanted life of royalty kaguya's origins and purpose slowly come to light ,8.28,,the seemingly ordinary and unimpressive saitama has a rather unique hobby: being a hero in order to pursue his childhood dream he trained relentlessly for three years—and lost all of his hair in the process now saitama is incredibly powerful so much so that no enemy is able to defeat him in battle in fact all it takes to defeat evildoers with just one punch has led to an unexpected problem—he is no longer able to enjoy the thrill of battling and has become quite bored  this all changes with the arrival of genos a 19-year-old cyborg who wishes to be saitama's disciple after seeing what he is capable of genos proposes that the two join the hero association in order to become certified heroes that will be recognized for their positive contributions to society and saitama shocked that no one knows who he is quickly agrees and thus begins the story of one punch man an action-comedy that follows an eccentric individual who longs to fight strong enemies that can hopefully give him the excitement he once felt and just maybe he'll become popular in the process 
4672,Koukaku Kidoutai 20,,mamoru oshii's first ghost in the shell cyberspace film will return to five japanese theaters in an enhanced ghost in the shell 20 edition on july 12 the new edition will include new computer graphics and digital effects for some scenes and a reunion of most of the cast members for a new 61 surround sound recording academy-award-winning sound mixer/editor randy thom (ghost in the shell 2: innocence the incredibles the right stuff) has overseen the new soundtrack with kenji kawai's original music and a final mix that has been produced at thom and lucas digital's skywalker sound studio in california in the new edition the enigmatic puppet master character will be played by yoshiko sakakibara (ghost in the shell 2: innocence's harraway ghost in the shell: stand alone complex's prime minister yoko kayabuki) iemasa kayumi (giant robo's chief chuujou shizuo rahxephon's ernst von b�hbem) played the role in the original edition the film will screen in tokyo osaka nagoya fukuoka and sapporo not coincidentally oshii's latest film the sky crawlers will open one month after ghost in the shell 20 on august 2  (source: ann),8.06,,deep in the countryside a man named okina works as a bamboo cutter in a forest chopping away at the hollow plants day after day one day he discovers a small baby inside a glowing shoot he immediately takes her home convinced that she is a princess sent to earth as a divine blessing from heaven okina and his wife ouna take it upon themselves to raise the infant as their own watching over her as she quickly grows into an energetic young girl given the name kaguya she fits right in with the village she has come to call home going on adventures with the other children and enjoying what youth has to offer but when okina finds a large fortune of gold and treasure in the forest kaguya's life is completely changed believing this to be yet another gift from heaven he takes it upon himself to turn his daughter into a real princess using the wealth he has just obtained relocating the family to a mansion in the capital as she leaves her friends behind to enter into an unwanted life of royalty kaguya's origins and purpose slowly come to light 
8038,Nodame Cantabile: Finale - Mine to Kiyora no Saikai,,violinist kiyora miki meets with shinichi chiaki megumi nodame noda and their two friends to visit world-class conductor franz von stresemann; upon arriving at his residence in vienna they discover that the maestro has escaped to japan as they make the most of their wasted trip by visiting important landmarks in the historical capital of classical music kiyora has a confession to make: she has not seen her boyfriend ryuutarou mine for an entire year and is still busy preparing for an international competition in paris chiaki and nodame promise to attend the final round but when the two are back in paris they receive an unexpected guest  ,7.88,,mamoru oshii's first ghost in the shell cyberspace film will return to five japanese theaters in an enhanced ghost in the shell 20 edition on july 12 the new edition will include new computer graphics and digital effects for some scenes and a reunion of most of the cast members for a new 61 surround sound recording academy-award-winning sound mixer/editor randy thom (ghost in the shell 2: innocence the incredibles the right stuff) has overseen the new soundtrack with kenji kawai's original music and a final mix that has been produced at thom and lucas digital's skywalker sound studio in california in the new edition the enigmatic puppet master character will be played by yoshiko sakakibara (ghost in the shell 2: innocence's harraway ghost in the shell: stand alone complex's prime minister yoko kayabuki) iemasa kayumi (giant robo's chief chuujou shizuo rahxephon's ernst von b�hbem) played the role in the original edition the film will screen in tokyo osaka nagoya fukuoka and sapporo not coincidentally oshii's latest film the sky crawlers will open one month after ghost in the shell 20 on august 2  (source: ann)
